seq,send_ts_ms,rtt_ms,est_oneway_ms
298,122553935.576976,7.679847,3.839923
299,122553937.75599,12.918529,6.459264
300,122553951.768906,8.596978,4.298489
301,122553969.105965,8.628385,4.314192
302,122553983.163363,11.892538,5.946269
303,122553987.511906,10.768888,5.384444
304,122553998.55612,13.043378,6.521689
305,122554018.348748,5.503975,2.751987
306,122554019.424247,7.59139,3.795695
307,122554049.795584,7.67769,3.838845
308,122554102.863302,6.636051,3.318025
309,122554184.808958,6.889582,3.444791
310,122554200.906097,5.566504,2.783252
311,122554212.342113,5.455405,2.727702
312,122554236.315993,6.023445,3.011722
313,122554241.073429,9.911953,4.955976
314,122554245.643615,8.581427,4.290713
315,122554248.908608,7.457529,3.728764
316,122554381.407486,8.379599,4.189799
317,122554470.530264,6.709069,3.354534
318,122554478.181262,7.78516,3.89258
319,122554480.343116,9.882811,4.941405
320,122554481.430673,8.814024,4.407012
321,122554483.592046,8.786663,4.393331
322,122554522.548938,6.746616,3.373308
323,122554538.771086,10.742765,5.371382
324,122554539.863031,12.927096,6.463548
325,122554574.115274,9.874505,4.937252
326,122554611.785019,6.533236,3.266618
327,122554768.210622,11.072168,5.536084
328,122554773.835868,22.75903,11.379515
329,122554776.191274,20.446427,10.223213
330,122554780.549799,28.971657,14.485828
331,122554781.6361,27.925863,13.962931
332,122554791.262449,21.548668,10.774334
333,122554797.763576,18.318718,9.159359
334,122554807.675488,8.429089,4.214544
335,122554810.088741,9.288603,4.644301
336,122554813.364956,6.031859,3.015929
337,122555038.6884,8.939343,4.469671
338,122555042.245208,11.988397,5.994198
339,122555045.578092,10.826015,5.413007
340,122555071.669161,7.595628,3.797814
341,122555096.557012,7.637079,3.818539
342,122555125.632404,8.067064,4.033532
343,122555127.965485,8.104433,4.052216
344,122555136.398311,6.856836,3.428418
345,122555186.534703,5.87474,2.93737
346,122555304.56283,9.987119,4.993559
347,122555314.665932,10.814318,5.407159
348,122555315.775345,9.738629,4.869314
349,122555316.887482,9.701082,4.850541
350,122555323.300374,8.705065,4.352532
351,122555338.463497,7.651651,3.825825
352,122555340.644097,9.946748,4.973374
353,122555342.827299,13.530753,6.765376
354,122555345.063397,11.385824,5.692912
355,122555468.638378,18.67555,9.337775
356,122555573.083085,6.664584,3.332292
357,122555586.726424,10.785,5.3925
358,122555587.789562,9.769154,4.884577
359,122555589.972198,7.601529,3.800764
360,122555591.099994,7.547163,3.773581
361,122555594.307124,9.647569,4.823784
362,122555613.785366,5.510718,2.755359
363,122555626.742159,6.602643,3.301321
364,122555637.485131,6.824372,3.412186
365,122555640.966784,9.124088,4.562044
366,122555644.490752,7.864301,3.93215
367,122555670.343409,6.968049,3.484024
368,122555710.29768,5.985999,2.992999
369,122555772.717801,5.800431,2.900215
370,122555837.709757,6.647682,3.323841
371,122555861.856635,6.590568,3.295284
372,122555880.14827,5.532921,2.76646
373,122555881.257661,10.971297,5.485648
374,122555882.374276,9.927795,4.963897
375,122555883.496235,8.828281,4.41414
376,122555884.572801,8.857747,4.428873
377,122555888.941523,7.757314,3.878657
378,122555893.575828,5.419341,2.70967
379,122555904.638406,8.039201,4.0196
380,122555906.778442,9.527165,4.763582
381,122555910.071423,6.352247,3.176123
382,122555978.127669,6.072519,3.036259
383,122556019.302977,7.55306,3.77653
384,122556120.46502,7.143108,3.571554
385,122556134.404628,21.401224,10.700612
386,122556135.486375,20.395968,10.197984
387,122556136.610039,19.28784,9.64392
388,122556137.757202,18.15341,9.076705
389,122556141.159116,14.763368,7.381684
390,122556142.158495,13.775431,6.887715
391,122556186.718455,7.220161,3.61008
392,122556205.149426,10.664397,5.332198
393,122556206.243931,14.16429,7.082145
394,122556214.262814,8.574177,4.287088
